"Price","Mileage","City","State","Make","Model","vehicle age"
"48990","1001","Elmhurst"," IL","Acura","MDXSH-AWD","4.0"
"34000","1002","Richardson"," TX","Acura","TLXSH-AWD","3.0"
"47995","1004","Cerritos"," CA","Acura","MDXFWD","3.0"
"23995","1039","Roslyn"," NY","Acura","ILXAutomatic","3.0"
"38991","1046","Chicago"," IL","Acura","TLXSH-AWD","3.0"
"28500","1093","San Juan"," TX","Acura","TLXFWD","3.0"
"52498","1117","Wichita"," KS","Acura","MDXSH-AWD","3.0"
"34774","1136","Jenkintown"," PA","Acura","RDXFWD","3.0"
"46990","1157","Clearwater"," FL","Acura","MDXFWD","3.0"
"26885","1160","Tucson"," AZ","Acura","ILXPremium","3.0"
"44660","1175","Orland Park"," IL","Acura","RLXwith","3.0"
"45999","1201","San Juan"," TX","Acura","TLXFWD","2.0"
"46000","1207","Littleton"," CO","Acura","MDXSH-AWD","3.0"
"32819","1215","Woodside"," NY","Acura","TLXSH-AWD","3.0"
"42986","1237","League City"," TX","Acura","MDXFWD","3.0"
"40771","1244","Naperville"," IL","Acura","TLXFWD","2.0"
"26859","1260","Tucson"," AZ","Acura","ILXPremium","3.0"
"31988","1271","Miami"," FL","Acura","TLXFWD","3.0"
"42730","1300","Brooklyn"," NY","Acura","MDXSH-AWD","3.0"
"46000","1310","Littleton"," CO","Acura","MDXSH-AWD","3.0"
"23995","1317","Roslyn"," NY","Acura","ILXAutomatic","3.0"
"38895","1334","Winter Park"," FL","Acura","TLXFWD","2.0"
"27500","1367","Gainesville"," FL","Acura","TLXFWD","5.0"
"34999","1381","Ardmore"," OK","Acura","RDXAWD","4.0"
"47995","1382","Cerritos"," CA","Acura","MDXFWD","3.0"
"37995","1391","Miami"," FL","Acura","RDXFWD","3.0"
"26999","1416","Chicago"," IL","Acura","ILXPremium","3.0"
"38493","1422","Wichita"," KS","Acura","TLXFWD","2.0"
"44445","1435","Jenkintown"," PA","Acura","MDXSH-AWD","4.0"
"25988","1443","San Juan"," TX","Acura","ILXAutomatic","3.0"
"47990","1446","Chapel Hill"," NC","Acura","MDXSH-AWD","3.0"
"36888","1458","Miami"," FL","Acura","RDXFWD","3.0"
"22000","1459","Chicago"," IL","Acura","ILXAutomatic","3.0"
"44911","1484","Morton Grove"," IL","Acura","RLXwith","4.0"
"29677","1500","Colorado Springs"," CO","Acura","TLXFWD","4.0"
"26000","1503","San Juan"," TX","Acura","ILXAutomatic","3.0"
"41800","1504","Merrillville"," IN","Acura","RDXAWD","3.0"
"46000","1518","Littleton"," CO","Acura","MDXSH-AWD","3.0"
"27445","1520","Jenkintown"," PA","Acura","TLXFWD","4.0"
"169929","1522","Hoffman Estates"," IL","Acura","NSXCoupe","3.0"
"44771","1543","Naperville"," IL","Acura","RDXAWD","2.0"
"38771","1554","Naperville"," IL","Acura","RDXAWD","2.0"
"36645","1556","Honolulu"," HI","Acura","RDXFWD","3.0"
"25485","1598","Milford"," CT","Acura","ILXAutomatic","3.0"
"46660","1610","Colorado Springs"," CO","Acura","MDXSH-AWD","3.0"
"42452","1646","West Chester"," PA","Acura","TLXSH-AWD","2.0"
"25998","1666","San Juan"," TX","Acura","ILXAutomatic","3.0"
"37990","1666","Chapel Hill"," NC","Acura","TLXSH-AWD","3.0"
"179000","1672","Chicago"," IL","Acura","NSXCoupe","3.0"
"38990","1697","Clearwater"," FL","Acura","RDXFWD","3.0"
"37888","1721","Tukwila"," WA","Acura","RDXAWD","3.0"
"25990","1722","Chapel Hill"," NC","Acura","ILXPremium","3.0"
"42985","1733","Larchmont"," NY","Acura","RLXwith","3.0"
"28000","1735","San Juan"," TX","Acura","TLXFWD","3.0"
"40990","1749","Clearwater"," FL","Acura","RDXFWD","3.0"
"38950","1755","Overland Park"," KS","Acura","RDXAWD","3.0"
"22988","1761","Miami"," FL","Acura","ILXAcuraWatch","3.0"
"24999","1775","Lindon"," UT","Acura","TLXFWD","3.0"
"44555","1779","Jenkintown"," PA","Acura","MDXSH-AWD","4.0"
"34995","1832","Overland Park"," KS","Acura","RDXAWD","3.0"
"34900","1857","Chicago"," IL","Acura","RDXAWD","3.0"
"52000","1858","Littleton"," CO","Acura","MDXSH-AWD","3.0"
"35580","1869","Tucson"," AZ","Acura","RDXFWD","3.0"
"26498","1882","Playa Vista"," CA","Acura","TLXFWD","5.0"
"32977","1885","Dublin"," OH","Acura","TLXFWD","3.0"
"33984","1923","Cleveland"," OH","Acura","TLXSH-AWD","3.0"
"41771","1945","Naperville"," IL","Acura","RDXAWD","2.0"
"26051","1951","Woodside"," NY","Acura","TLXFWD","3.0"
"43698","1961","Palatine"," IL","Acura","TLXSH-AWD","2.0"
"30590","1967","Clearwater"," FL","Acura","ILXTechnology","3.0"
